"Date","Hour End Time","Variable Manager Hours","Variable Crew Hours","Fixed Manager Hours","Fixed Crew Hours","Projected VLH"
'07/08/2016','06:00',,,,,6
'07/08/2016','07:00',,,,,9.75
'07/08/2016','08:00',,,,,11
'07/08/2016','09:00',,,,,11.25
'07/08/2016','10:00',,,,,11
'07/08/2016','11:00',,,,,10.75
'07/08/2016','12:00',,,,,13.25
'07/08/2016','13:00',,,,,14.25
'07/08/2016','14:00',,,,,13
'07/08/2016','15:00',,,,,11.25
'07/08/2016','16:00',,,,,11.25
'07/08/2016','17:00',,,,,10.75
'07/08/2016','18:00',,,,,11.75
'07/08/2016','19:00',,,,,12.75
'07/08/2016','20:00',,,,,11
'07/08/2016','21:00',,,,,7.75
'07/08/2016','22:00',,,,,5.75
'07/08/2016','23:00',,,,,5.75
'07/08/2016','24:00',,,,,3
'07/08/2016','25:00',,,,,2.5
'07/09/2016','05:00',,0,,4,
'07/09/2016','06:00',,5,,4.25,5.25
'07/09/2016','07:00',,7.5,,4.25,7.5
'07/09/2016','08:00',,10.75,,3,10.5
'07/09/2016','09:00',0,10.5,1,5,11
'07/09/2016','10:00',0,13.75,1,4.5,13.25
'07/09/2016','11:00',0,12.75,1,6,13
'07/09/2016','12:00',0,13.25,0.5,4.5,13.25
'07/09/2016','13:00',0,12.75,1,3,12.5
'07/09/2016','14:00',0,12.75,1,2,12.5
'07/09/2016','15:00',0,11.25,1,2.25,10.75
'07/09/2016','16:00',0,8.5,1,1,8.5
'07/09/2016','17:00',0,7,1,1,7.5
'07/09/2016','18:00',,9.5,,0.5,10
'07/09/2016','19:00',,9,,2.5,8.75
'07/09/2016','20:00',,7.25,,1,7.25
'07/09/2016','21:00',,7.25,,0.5,6
'07/09/2016','22:00',,7,,1,6.75
'07/09/2016','23:00',,6.25,,1.75,5.5
'07/09/2016','24:00',,4,,1,4.25
'07/09/2016','25:00',,3,,2,2.75
'07/09/2016','26:00',,0,,4,
'07/10/2016','05:00',,0,,6,
'07/10/2016','06:00',,5.5,,6,5
'07/10/2016','07:00',,6,,6.25,6.25
'07/10/2016','08:00',,7.5,,2,7.5
'07/10/2016','09:00',,10.5,,3,10.25
'07/10/2016','10:00',,10.75,,4,11.25
'07/10/2016','11:00',,11.5,,4.5,11.25
'07/10/2016','12:00',,12,,5,12.5
'07/10/2016','13:00',,13,,2,13
'07/10/2016','14:00',,12,,2.25,12.75
'07/10/2016','15:00',,10.25,,1.75,10
'07/10/2016','16:00',,8.25,,1,7.75
'07/10/2016','17:00',,6.75,,1,6.75
'07/10/2016','18:00',,9,,1,8
'07/10/2016','19:00',,9.5,,1.5,9
'07/10/2016','20:00',,6.75,,1,6.5
'07/10/2016','21:00',,6.25,,1,6.5
'07/10/2016','22:00',,5.5,,1.5,5.25
